bin_start,bin_end,count
-6599.978,-6299.97892,1
-6299.97892,-5999.97984,0
-5999.97984,-5699.98076,0
-5699.98076,-5399.98168,0
-5399.98168,-5099.982599999999,0
-5099.982599999999,-4799.98352,0
-4799.98352,-4499.98444,0
-4499.98444,-4199.98536,0
-4199.98536,-3899.9862799999996,0
-3899.9862799999996,-3599.9871999999996,1
-3599.9871999999996,-3299.9881199999995,1
-3299.9881199999995,-2999.9890399999995,0
-2999.9890399999995,-2699.9899599999994,1
-2699.9899599999994,-2399.9908799999994,0
-2399.9908799999994,-2099.991799999999,1
-2099.991799999999,-1799.9927199999993,1
-1799.9927199999993,-1499.9936399999997,0
-1499.9936399999997,-1199.9945599999992,2
-1199.9945599999992,-899.9954799999987,8
-899.9954799999987,-599.9963999999991,9
-599.9963999999991,-299.9973199999995,34
-299.9973199999995,0.0017600000010133954,1078
0.0017600000010133954,300.0008400000015,4610
300.0008400000015,599.9999200000011,95
599.9999200000011,899.9990000000007,32
899.9990000000007,1199.9980800000012,7
1199.9980800000012,1499.9971600000017,7
1499.9971600000017,1799.9962400000013,2
1799.9962400000013,2099.995320000001,1
2099.995320000001,2399.9944000000023,1
2399.9944000000023,2699.993480000002,3
2699.993480000002,2999.9925600000015,1
2999.9925600000015,3299.991640000001,0
3299.991640000001,3599.9907200000007,0
3599.9907200000007,3899.989800000002,0
3899.989800000002,4199.988880000002,1
4199.988880000002,4499.987960000001,0
4499.987960000001,4799.987040000003,0
4799.987040000003,5099.986120000002,2
5099.986120000002,5399.985200000002,0
5399.985200000002,5699.9842800000015,0
5699.9842800000015,5999.983360000001,0
5999.983360000001,6299.9824400000025,0
6299.9824400000025,6599.981520000002,0
6599.981520000002,6899.980600000002,1
6899.980600000002,7199.979680000003,0
7199.979680000003,7499.978760000003,0
7499.978760000003,7799.977840000002,0
7799.977840000002,8099.976920000002,0
8099.976920000002,8399.976,1
